Clothing ID,Age Group,clean_review,Recommended IND
90,Young Adult,legging great quality thick enough wear pant rise perfect issue stretch wear end size larger,1.0
90,Middle Age,love fit feel super stylish want color get ordered black dark grey dark grey arrived first comfortable flattering nice thigh slimming effect purchased size small regular length hit ankle lb cant wait second pair arrive describe hybrid pantlegging comfortable flattering versatile got large medium sold fit nice super tight great fabric nice legging substantial fabric structured typical legging wonderful fit love bit texture structure perfect easy wear ankle boot flat thick enough dont worry seethrough incident issue elastic waistband isnt secured tends twist around minor annoyance wouldnt stop ordering another color perfect fit nice detailing best feature bag wearing short time good line back dressy regular legging perfect thickness fit comfortably like legging look like nice pair office outside pant got grey thrilled texture typically wear large pant tt see either would definitely recommend good quality fabric structure mix medium detail line make seem like jodphurs legging hard see would wear sorry back soooooo cute fit like dream look like regular pant could dress dress bought grey slight herringbone pattern adorable going buy black well normally wear size got small fit perfect,0.8888888888888888
90,Senior,ive looking right legging good quality thick enough feel appropriately covered good price point legging need great pair black pant step basic legging nice weight little ribbed detail side would recommend reading review legging seemed best legging ever usually legging gal decided might one take winter long cozy sweater read profile purchased happy fit making purchase lb bought medium fit nicely waist thigh knee theyre baggy really dont fit like legging photo see slack around opened got yesterday immediately tried knee totally stretched due panel knee looked like growth popping leg knee someone received sent back tried wore returned obviously small whoever never resent another customer obviously misshapen going back bet,0.75
107,Middle Age,bought nightgown wear winter maternity dress really fit bill knit fabric stretched nicely grew still flattering got larger well way would actually sleep dress would way hot cute calf length boot look forward rocking without belly next winter would normally wear petite length bought medium though longer length awkward kept many complement today work comfortable even day dont want wear something form fitting blue look lot grey person ive gotten several compliment wearing black legging grey booty textureprint really unique pound small fit perfect highly recommend bought dress winter dress look amazing even boot love also gray blue although like idea considered sleepwear bought saw store promptly tried really flattering wear sweater dress regular basis really comfortable something could dress booty casual cute tennis shoe like keds get compliment time also like slit lot really thought would love dress style really nice material great however length made feel like looked short kind stumpy feel like dress would look really good somebody like self,0.8333333333333334
107,Senior,phenomenal wardrobe peice quality comfort versatile dress belt boot shoe ish lb small fit chest beautifully great buy fun hard believe called chemise fabulous dress dress caught eye store try went navy beautiful great pattern order petite regular loose shoulder area petite narrow petite perfect quite form fitting show curve lump bump wore dress spanx tights easy dress wear looked styl,1.0
109,Middle Age,look really nice teh picture tried thre cream color availalbe store tried per stylist recommendation thin see ripple belly lol still fairly flattering ended purchasing maybe pile wil lwait wearing sure cant wear grey bar htin purchased top oatmealbeige color love material soft fit true size would purchased black color still available,1.0
109,Senior,bought black cream great weight soft fabric beautiful lace turtleneck already wrapped soon going tree bought saw store tried fitted tight snug fitted flattering lace cutout area flattering unexpected love top think wardrobe staple dress casual ill wash carefully case seems well made hate snag lace,1.0
116,Middle Age,much lower quality robe purchased like robe lot tassel detailing tie beautiful like soft interiorbut wish went way arm cozy part robe center section hoodthe arm bit chilly rest warm cozy think robe necessarily flattering favor way slimming cozyaroundthehouse robe rather one hide lingerie underneath,0.5
116,Senior,wish read review purchasing product label say wash dry normally however upon washing outer layer shrunk inner lining robe lay flat fabric pull edge result inner lining revealed robe tied shut extremely disappointed garment expected much wish could return ordered gift may order one comfortable pretty review robe incredibly soft wonderful put right shower warm sleeve lined jersey like material easy get fit true size excited robe,0.75
117,Middle Age,ordered size small sale thinking material might fit actually cute fit waistlegs crotch area another reviewer mentioned could fit little better look fine longer top decided keep,1.0
117,Senior,bought legging retailer fine run small return love love love legging amazing price point received many compliment first day wore amazing fit disagree post quality amazing wish color bought,1.0
119,Young Adult,super cute light flowy ordered black pack well wasnt wrinkly took suitcase ordered black happy purchase,1.0
119,Middle Age,seafolly favorite swimbeach brand quality always great colorful sheer kaftan get much use summer love love love piece flowy made good material glad purchased item,1.0
121,Middle Age,bought grey coming back black cream lovethis staple item soft fit great top fit perfectly much bra showing black lace would great top use loungewear though lace detail add nice spin otherwise plain tank look great cardi jacket sweater coat part fit true size fitted hope would lb got usual xsp biggest gripe deep vneckits show bra eek like strap could shortened help remedy may leave arm hole small bring high perhaps may shrink wash need get bigger boob maybe top pretty design low vneck would nice layering way tight run small order size seemed run little bit small form fitting model photo also thin sold sure little longer like almostlingerielike look lace applique pretty purchase really show better two lighter color really get lost black,0.6
121,Senior,tank super soft well fitted fit true size lace pretty front make unique lace back top unique design good quality,1.0
123,Young Adult,pjs adorable run tt extremely comfortable,1.0
123,Middle Age,ordered xx little nervous small pleased fit reference lb great season lining warm yet add pop color cuffed crown bird pretty nifty tried regualr size store decided get anyway even little long htey cute rolled yellow color showing super comfortable washed htem yet hipefully remain decent wuality saw lounge pant felt though designed specifically love cute bird design love greenblue color fabric material soft inviting give try wont regret fit great moving room color vibrant right house lot cool air conditioning several lilka bottom glad add one adorable bird print collection tt soft flannel striking color wish pocket vibrant color bird whats love lounge pant cute soft comfortable run little large,1.0
123,Senior,saw store wear rolled lightweight whenever wear want smile bird hat funny wear run errand worn flying etc cant say enough good thing pant wash well ironing needed darling love flannel pattern upbeat wish little peggedslimtapered bottom,1.0
124,Young Adult,bought pant girlfriend christmas really loved material pant made comfortable animal super cute,1.0
124,Middle Age,super cute soft fuzzyjust like woodland animal pattern lounger run slightly tight seat developed bottom definitely get size super cozy colder weather coming likely wearing every night relaxing home,1.0
124,Senior,already one pair sleep pant retailer looking second pair wanted something warm comfortable fall upcoming winter weather live rockies soon saw woodland animal print pant try mean seriously cute raccoon critter arrived first thought might thin winter wear put pleasantly surprised soft comfy fabric got today steal deal sale sale super excited pattern adorable put tonight noticed firstly arent eloise like assumed would secondly werent soft expected retailereloise pajama purchased past soft comfortable dont want take get pair happened soft sure,0.5
127,Young Adult,really like appearance item look pleasing many different style legging run little large true size small hang little love design back soft comfortable,1.0
127,Middle Age,comfy cozy bit big size even oversized piece order size even want boxier look unsure fabric hold upbut great get exchanged smaller size wanted wear mistake tend wear size large entirely big also piling right bag soft tore tag wore anyway get size sure sweater fine casual day bought cream say one wash look old huge retailer lover buy lot clothes best quality look tired wear soft poor material favorite purchase got green color gray accent stitching look awesome gray tone legging super soft definitely run little big lb ordered small unflattering way,0.75
127,Senior,love tunic super comfy cute cream love much ordered mint look great jean boot,1.0
128,Middle Age,splurged pajama set regret even though design adorable knitted fabric contains acrylic started pilling lot within first week wear month couple wash look horrible may worst case pilling ive ever seen fabric disappointed initially fit true size stretched bit time lb ordered usual size fit perfectly soft comfortable keep warm cant wait take snow next month amazing like cozy wool sock true size dont stretch least yet even stretched etc going get another pair since envision wearing often cold house legging adorable love able get petite size detailing pant awesome button ankle cute truly feel legging worth price paid normally dont like spend much legging husband bought set christmas hand favorite gift legging let tell legging comfortable cute buttonscolorpattern love way feel leg soon get home work put well lot day ordering another pair someone doesnt legging would far saying lounge set actually make feel sexy thats much love,0.8
128,Senior,love soft cozy legging fit like glove perfect weekend lounging sleeping cold winter weather want,1.0
129,Middle Age,splurged pajama set regret even though design adorable fabric contains acrylic knitted fairisle part started pilling within first week wear month couple wash look horrible fleece part looking little grungy well disappointed top intentionally oversized come crotch could easily sized sweater soft warm love matching legging say true size however ordered size cover bottomcrotch area wearing legging normally wear ordered small work well well made absolutely love comfortable warm nice lounge cold day cute sweater actually cute idea nut decided try since sale msitake actually buy grey part soft warm design part nice flattering nothing wrong sweeater note petite foot inch decided buy regular size longer length cozy warm great cold night typical sleepwear glad took chance super cozy lounging worried covering bottom purchased matching legging ordered based prior review ended exchanging oversized could purchased petite probably still bit long though fit like photo pullover great lounging warm cozy got nice thing christmas along matching legging hand absolute favorite gift stylish cozy perfect length cover bottom perfect fit ordered love pocket could perfect set lounge around house sleeve bit long fold say perfect fit oversized huge roomy thats like loungewear,0.875
129,Senior,love sweater bought matching legging couldnt comfortable cozy fabric cute detail loving please bring different color pattern,1.0
131,Young Adult,saw romper online knew needed love flannel love romper super comfy bought intention wearing around house think fall cute high sock boot got ive opting tights lot compliment far got small didnt want short fit well,1.0
131,Middle Age,wanted love romper wasted right lb curvymuscular frame ordered size small may liked better room medium decided return still recommend trying product wasnt hip romper fit well flattering love relaxed style quality quite poor though one leg ripped second time wore fabric soft comfortable fraying pilling like crazy two brief wear romper look cheap old expect much better quality pricepoint really disappointed truly feel guilty wearing outdoors incredibly comfortable much asked sale girl pjs actually worn usually fit fine went bit room allow top bit flannel flowy top enough length actually let droop waist bet bit length definitely upper thigh rest assured nothing hanging actually softest flannel ever dont think wear outside super comfy lounging around run large since flannel romper problem absolutely recommend shape size,0.75
132,Middle Age,love everything get size bigger long short mom would fine went limb ordering romper really wheelhouse whole romper thing home run afraid might look young couldnt pull long sleeve overall style perfect twenty something niece obsessed well far fit lb ordered size long torso concerned people said ran short didnt trouble took love much short torso post baby boob petite perfect first romper found fit crotch height leg area excited wear review,1.0
132,Senior,wore romper washing hem one shortslegs completely unraveled want ever wear bring tailor get fixed unacceptable product cute design good fit questionable quality,0.0
133,Middle Age,length great stretch far dont stretch material dark soft lb size fit great,1.0
133,Senior,nice fit stretchy fabric stretch shape much big wearing hour true size great length going buy another pair know wear want backup review,1.0
134,Young Adult,love thick comfortable feel like sweat pant cute enough wear running quick errand definitely recommend,1.0
134,Middle Age,buy sale price well worth comfortable thick warm nice home pant wear outside love got large fit baggy side bad usually large,1.0
134,Senior,nice feminine pattern thick fabric great pocket white ivory size small fit nicely would nice pant length little longer inseam end couple inch ankle thats preference overall happy purchase,1.0
135,Young Adult,absolutely love short perfect length looking short length rise height year hard find short arent super short yet arent bermuda still flattering especially recommend miss wearing short insecurity thighsmidsection roll sewn end youll reroll wash wish carried basic time,1.0
135,Middle Age,love color length short searching pair dark denim short cutoff pilcro short winning fit great like pilcro denim sure getting lot wear every day short cute denim short roll perfect everything pair pilcro denim short retailer reason colored one white yellow pink hold shape denim blue completely stretch went size still stretch point sagging really want black oneshoping dont,1.0
139,Young Adult,love top wear time gorgeous pale blue feel amazingit tighter fitting shirt like looser clothes size,1.0
139,Middle Age,top great versatile long sleeved shirt sleeve long dont know listed length could see sleeve length would problem petite lady wine color beautiful slightly fitted picture afraid might semisheer totally fine wish bit longer torso short like sweater season tend shorter torso tall lady like shirt general prefer formfitting less flowy shirt however washing shirt hanging dry shrunk short wear even midrise jean good dont like long tshirts bad tall like dont want wear crop top,1.0
139,Senior,great layering top comfy feel soft pjs bought color,1.0
142,Young Adult,really liked legging comfy soft waistband thickabout inch wide size pant got size inch inseam came ankle legging textured stripe calf hip,1.0
142,Middle Age,cute legging love ribbed bottom far design comfort five two wearing pilling like crazy look shabby happy paid paid full price upset fan legging unflattering could see wearing day could start stretch didnt feel like would hold even one season ive never owned sweater legging first order large well junk trunk bottom top teeny bit scratchy hoping wash theyll soften upbut theyre really loose also hoping theyll shrink teensy bit legging super comfy took advice reviewer ordered size legging fit wonderfully lately ive problem legging falling waist stay nicely pleased legging slight itch sweater feel warm enjoy wearing,0.75
144,Young Adult,favorite tights love opaque love thick thick appropriate winter slimming without feeling tight dont sell please bring back love tights stock every year great quality thick hot thin sheer put also dont squeeze waistline favorite tights perfect tightsfit feel top quality wash well,1.0
144,Middle Age,great tights good color quality got lot compliment head toe retailer ensemble,1.0
144,Senior,raspberry color really stunning looking colored tights difficulty finding really rich color thrilled saw ive worn far comfortable seem like last worn exclusively past couple year fit great tt stay put wear well well worth price,1.0
145,Middle Age,thought pretty website person look like work art color vivid bright red pink green blue yellow flora fauna house writing type many thing white cream background soft mediumweight flannel run true size wish pocket though cute person soft touch comfy person shorter side roll cuff sold pant cant wait get cool enough wear,1.0
145,Senior,love lounge pant live florida worried might heavy case soft lightweight comfortable love love flannel sleep pant bought pair year ago look style truly comfortable pajama pant ever owned,1.0
146,Young Adult,exactly looking cozy warm fit comfortably roomy without looking baggy print beautiful definitely buying sleepwear retailer,1.0
146,Middle Age,love pajama bottom comfortable print fun unique highly recommend run true size great length look short model mine perfect beautiful color lightweight flannel great pair sleep pant worn year round ordered typical size turned quite large hopefully fit better jammie pant quite beautiful comfortable material used great light thin found run really big though definitely order size,1.0
147,Middle Age,cheerful colorful love cozy pant george venson vousta designed pair pajama bottom beautifully designed comfy lounge sleep light weight flannel fit true size wash extremely well design pjs like white background red bird polar bear deer tree branch running length pant theyre delightful must try review,1.0
147,Senior,saw connecticut retailer didnt want pay full price next week went sale ordered small frame lb length perfect waist bit tight pjs though tight enough return love everything else theyre like wearing painting fine art light weight flannel hope hold well iin cold water wash,1.0
148,Middle Age,purchased gift someone need ante soft cute fun absolutely love sleep pant comfortable cute tea cup print make fun washed put dryer didnt fade shrink grab pair still wont regret,1.0
148,Senior,nice lightweight flannel precious contrasting gingham cuff look stylish height impressed styling construction fit slightly larger tt figured account potential shrinkage,1.0
150,Middle Age,way cuter model run big unflattering perhaps someone tall would look better sadly looked dumpy frame also arrived black stain going back beautiful jacket light day fit little large want fit little tailored look order size think jacket meant large particular look problem large slouchy cute adore,0.6666666666666666
150,Senior,jacket cozy send back think great taller person love jacket soft beautiful shade ivory perfect casual wear pair black jean still maintaining elegant look,1.0
154,Young Adult,love easy dress great length torso sleeve inch wrist bone see model pushedrolled wear shirt hard layer coat,1.0
154,Middle Age,love design pattern top run big roomy still cute neck wide returned material top isnt texture soft top stunning color vivid extremely cozy soft however seems delicate would need worn everyday top material cotton candy like appearance really unique one kind reading review placed order top caught eye entire price down lately usual size retailer turn huge ordered size smaller usually wear would top wasnt darn short reference tall weird top look completely opposite model photo loose looking fit longer sleeve looking like stylized sweatshirt love feel design pullover extremely soft comfy wear however find run slightly large bit boxy sleeve bit lengthy probably best petite frame trying decide keep though simply softness ease wearing provides love loungeathome top color pattern really pretty soft warm comfy cozy also boxy thick flattering cut initially attracted color warn super soft love,0.7142857142857143
154,Senior,way cuter person model super soft fluffy sweater color pretty feminine received christmas gift already worn twice perfect skinny jean ugg boot vary small retailer sweater bit boxy sized fit perfect,1.0
155,Young Adult,perfect substitute legging wear long shirt skirt short thick enough keep warm arent thin tights normally,1.0
155,Middle Age,tights exactly looking great weight winter month worn outdressed lounging around house nice weight durable construction plan pair skirt tunic dress super cute ankle boot perfect long tunic weekend run errand tightslike sense there full coverage across bum accidental flashing anyone theyre itchy either bought brown want buy rest color available ordered wear around house legging trick love color fact warm without thick given tunic thighlength dress hot new thing season kept finding blackonlytights collection wasnt going fly cute new top boot searched far wide different colored tights didnt look cheap inauthentic color found bought blue gray brown worn many different piece look rustic average tight almost like legging tights lit wear tights winter difficult find cute fashionable tights arent heavy quality fabric last entire season fit great dont roll bunch dont shrink great feeling fabric arent super thick see thru love plan purchasing color tights awesome bought three pair give nice casual look multiseason dress tights comfortable material great bought gray holly color color shown online similar nylon tights snag easily definitely legging similar reviewer wont keep warm winter tights light time super cozy definitely cut sewn tights meant worn legging theyre really sheer around rump ive worn around house oversized tshirts long sweater would wear house dress serious coverage despite thought bought wish available color worth sale price got light blue theyre little long like texture really comfortable thing awkward seam around crotch area really cant wear alone cropped tee shorter top,1.0
155,Senior,blue gray love look feel however gray within day ripped seam area received first pair brownlove ordered two tights actually stay dont keep pulling throughout day super comfortable perfect weight thick thin run careful washing putting tights thin appear photo one pair hole seat obvious repackaged part packaging missing disappointing wish found hole try definitely going back,0.6666666666666666
157,Middle Age,love tights theyre thick durable pattern super cute cute comfy pictured soft greenishgray didnt find super flattering least slimming view lb got fit right way true waist tube leg meaning theyre contoured tights there excess fabric toe itd bunched flat there tiny bit looseness ankle there also distinguishable front back,1.0
157,Senior,love tights fabric feel great soft comfy took large fit perfectly true waist height retailer tights bought large short person color paid subtle green look great black skirt green sweater,1.0
166,Middle Age,tshirts pure good buttery soft flattering loose enough drape beautifully detailing neckline take step basic tee last year machine washed many many time delicate cycle still look almost new hoping pick couple theyre gone please retailer bring tee back would kill beautiful dark blue loved got flattering fit slightly loose body flowy nice weight fabric comfortable fabric perfect scoop neck doesnt show much cleavage washed delicate line dried shirt came riddled hole review drape perfect wash well color disappoint medium,0.75
166,Senior,love pure good short sleeve tee feel beautiful wash beautifully hang dry perfect next time buy size medium like flow nicely hip ordered black white shirt thinking polka dot turned star instead even cuter fit true size soft comfortable first thought trying ordered another one lightweight soft slinky unike average tshirt slinkiness make skim body nicely purchased pink top really like goto material light skimpy nice drape length good fit tt,1.0
167,Middle Age,short linen look touch stretch great keeping shape lb short hit thigh long enough cover still sexy fit snug gave looser look still fit waist navy mango definitely recommend ordered mango navy size lb arrived size label mango fit perfectly perfect length leg flattering navy hand inch shorter inch narrower kept doublechecking packing slip label inside short see accidentally sent clearly brought back store ordered another navy hoping pair mislabeled bought whim mother day shopping didnt try even try store got home couldnt believe great fit comfortable length perfect long short stretch bit upon wearing like comfortable relaxed look washed dried dryer came perfect bought coral color buying hard find short work rec short really cute flattering length grey color silvery look keeper fit true size well hit leg good length perfect comfy cool got blue royal navy opinion go well almost anything wear neutral color addition orange red yellow pattern flattering like reviewer went size blue perfect length short got version last year white lb obsessed short bought blue one last year loved much needed another pair purchased gray one beautiful hue even pale leg think versatile fit perfect hit right length flattering appropriate short super comfy fuller bottom short tough find truly amazing cant wait wear get warmer reference,1.0
169,Young Adult,review super comfy warm legging bought two pair another pair mother let honest ill probably buying another pair great legging price ultra soft stretchy great pair legging relax stretchy come size lxl tall fit fine usually generic sizing large small frame bit long petite person tucked boot nobody know super itchy return expecting normal thickness everyday legging plus fleece instead theyre like thickerthanaverage tights still warm though there weird seam inside thigh take away comfort bad want return hoping either love legging soft comfortable ordered two pair one one fit better work size jean bubble bottom falling around hip warm expecting sheer since fleece lined sat shocked notice doesnt matter functionality wise never felt draft look good well made returning due lack fit quality design overall comfortthese legging soft feel look amazing bought black love ribbed detailing enough add little something ended buying two color another pair black price worth,0.75
169,Middle Age,bought black legging love warm comfy wore tunic boot work people surprised legging ribbing make nicer plain black legging want another pair especially price review review top bottom bought size cute pattern grey legging fleece lining warm thick even stretched see would say would large bottom would fit snug fine wearing skirt dress lb tall usually small would size fit would comfy stretchy soft opaque perfect couple sweater dress picked retailer reordering really love legging different texture color make interesting quality great lb fit pretty well wish option still would hesitate buy actually went retailer tonight purchase colorsthats happy purchase legging awesome quality especially price warm form fitting thick design nice plan wearing winter legging amazing far one comfortable pair ordered got fit perfect detailing awesome even stay opaque sit dont worry seethrough great buy best legging comfortable wore day bed didnt want take hoping get pair pant warm cozy comfortable like cashmere legsso amazingly soft price definitely worth getting color wanted legging wear dress winter keep leg warm get job done incredible price soft lined fleece inside sure ribbing black necessary subtle dont mind tad long petite frame since intend tuck boot length problem quibble first pair arrived three snag one leg retailer kindly sent new pair love fit warm good price got pair washed mine garment bag washed fine hung dry really comfortable legging see great price new favorite legging everything need soft waist band doesnt squeeze overly long subtle ribbed texture black pair make feel little nicer importantly see thru soft inside price nut happy legging quality product great price ordered daughter love warm comfy wear time liked everything say description theyre ribbed run true size fit long leg end day start sag crotch hit mid calf straight package wash perfectly cozy youre average height probably favorite fabulous legging cold day teacher crossing guard duty morning finally something stylish also keep warm love highly recommend con inch shorter would like bought black gray fleece lined legging thought price great good true get pay opened box smelled awful chemical smell washed black pair twice little better washed gray time still smell,0.9473684210526315
169,Senior,say ribbed want ribbed would bought ribbed legging warm comfortable theyre thick enough wear pant dont stretch slide day wish came color love legging soft cozy yummy feeling cant wait weather get cooler fleecelined legging new staple winter best legging ever worn wear lot legging tall lb bought soft warm stay perfectly pinch make line amazed inexpensive buying review review grey love comfy got even though like loose fit soft needed legging wear boot make sense cold enough wear boot socal cold wear thin legging try find warm leggingsalmost impossible retailer put fleece lined legging catalogue legging vertical knitted stripe elongates leg warm perfection garment rare legging hot couldnt believe bargain price legging took chance ordered color arrived equally pleased see soft cozy warm nice looked oversized top also interesting texture different black vertical lined texture lavender cable weave texture gray untextured wearing going pleasure soft comfortable warm ordered black think ill buy grey lavender well material little syntheticalmost shiny looking definitely deal breaker new lounge pant recommend,0.8888888888888888
170,Middle Age,chemise comfortable beautiful dressed staple bohemian wardrobe gave star fact completely see requires included slip underneath also super thin cotton wear easily dress soft comfy transparency issue said think long wear fleshcolored undergarment youd fine casual situation natural fiber especially comfortable detailed stitching around neck chest area pretty store didnt petite size regular length long passed,1.0
170,Senior,surviving winter month various combo flannel wool craving something feminine wear lounging sleeping traveling mediterranean friend little gown looked ideal lace feminine smoother feared reserved single star concern jersey knit body wont hold test time sheer rather opaque enough wont self conscious curved high waist flattering regardi wanted badly wear dress slip cute flattering put made look pound heavier fit awful usually wear dress retailer swallowed petite waaaaaay big disappointed pretty saw store try luckily grabbed couple size heading dressing room since thought looked large wanted get best look normally wear large retailer item want really roomy look could normal size liked little fitted ended getting small plan wear jean legging delicate embroidery detail pretty stick side look little funny,0.6666666666666666
172,Young Adult,absolutely love product versatile wear dress absolutely perfect paired legging sit class day product incredibly comfy perfect getting cozy however sleeve sort loose look cohesive grey prop draping though lovely sweater dream come true first spotted sale didnt place order time receive one came back week later snatched one needless say disappointment wait well worth material incredibly soft fit right size retailer without fail probably snuggest fit top review say run big,0.6666666666666666
172,Middle Age,bought gift really soft cozy sure love picture dont justice beautiful drape incredibly cream color warm creamy bright white look really nice incredibly comfortable could see excellent item wear plane super cozy chic must front material soft cozy surprised find back arm waffle knit like long john material thin tight arm wear shirt underneath tank top great deal first arrived rolled tight ball size large starbucks coffee dont know youre going immediately impressed something packaged like cheap second usually retailer mine near loosefitting photo also sleeve back thin waffle knit like flimsy tshirt seethru sleeve formfit arm couldnt layer couldnt wear alone,0.75
172,Senior,look better person picture online soft comfortable size size roomy lot material drape front know sweater short back cover backside,1.0
176,Young Adult,robe warm soft like long perfect length favorite thing wear around house,1.0
176,Middle Age,maybe bath robe crazy fall soft cozy cute though one pulled across shoulder neck creepy way like way fit returned super comfy longer last year version minus hood love,0.6666666666666666
176,Senior,nicely made attention detail thick comfy hand washing recommended thats negative,1.0
177,Middle Age,review fit quite well rare find short fit well without tight great spring summer fit tt,1.0
177,Senior,love short purchased peach color color perfect fit perfect look great highly recommend first time trying pilcro glad short extremely soft comfortable without short love love,1.0
180,Middle Age,love shirt soft bit see recommend wearing camisole underneath perfect jean fit slightly boxy work well stylish super comfy even though relaxed oversize fit still flattering pretty dressed cool jean fave free suede boot complaint available color pretty please make color variation sweater looked picture would keep however boxy short style work ordered medium suspect sweater model may clipped back make look form fitting unfortunately return sweater,0.6666666666666666
183,Young Adult,sock thin elastic top rigid could get sock higher halfway calf would recommend product felt cheap good quality,0.0
183,Middle Age,really like look sock become obsessed overtheknee sock winter year tick nice keeping warm durability long lasting product complaint difficult get knee great thing certainly stay putwhich huge problem overtheknee sock however end day pretty sure going lose leg poor circulation still sock narrow especially top pinched thigh almost painful wear day thigh pretty narrow five foot tall leg hip thinnest part body understand need reinforced top dont slip definitely made person unhealthily skinny one size definitely true also snag easily,0.0
183,Senior,perfect exactly pictured nicer soft comfy big sweater winter month,1.0
187,Middle Age,lovely sock great color stitched well little thin size foot bit small heel doesnt quite make around heel supposed still theyre comfy thick warm really like stripe different pattern good trouser sock imagine youre size fit perfectly got mint pink color theyre true appear computer screen cute sock comfy well good quality person,1.0
190,Young Adult,love cute enough wear really comfortable ordered small little long shrunk wash theyre still totally wearable love hate relationship product comfortable cozy yet unshapely initial wear product begin stretch sit knee demarcated fabric stand sherpa front soft waffle material back way flattering purchased sleeping job nicely would never leave house hoping first wash shrink bit typically,0.5
190,Middle Age,comfy cozy great bargain sale price ordered sale despite previous reviewer comment unflattering back side really hug bum bother bother back side totally see unless plan wearing long top wearable public around people gotten favorite piece retailer also poorly designed unfortunately fall latter category husband bought jogger retreat went comfortable really cute usually size size small fit great room,0.6666666666666666
